Розмір матриці,Час 2 потоків (сек.),Час 4 потоків (сек.),Час 8 потоків (сек.),Час 16 потоків (сек.),Час послідовно (сек.)
2,0.000062,0.000035,0.000087,0.000151,0.000000
4,0.000012,0.000018,0.000064,0.000101,0.000000
8,0.000011,0.000018,0.000047,0.000079,0.000002
16,0.000017,0.000032,0.000055,0.000065,0.000013
32,0.000066,0.000098,0.000089,0.000120,0.000121
64,0.000920,0.000536,0.000511,0.000432,0.001788
128,0.007121,0.003281,0.002335,0.001913,0.010881
256,0.037173,0.016959,0.012769,0.010168,0.060119
512,0.245308,0.124532,0.090246,0.080902,0.477274
1024,1.979429,1.003792,0.678720,0.644776,3.838599
2048,43.452377,25.047817,13.821132,13.271034,71.317983
