Розмір матриці,Час 2 потоків (сек.),Час 4 потоків (сек.),Час 8 потоків (сек.),Час 16 потоків (сек.),Час послідовно (сек.)
2,0.000060,0.000029,0.000102,0.000174,0.000000
4,0.000008,0.000018,0.000065,0.000088,0.000000
8,0.000012,0.000019,0.000054,0.000083,0.000001
16,0.000012,0.000014,0.000055,0.000080,0.000001
32,0.000011,0.000019,0.000055,0.000086,0.000003
64,0.000017,0.000035,0.000041,0.000091,0.000015
128,0.000049,0.000060,0.000073,0.000096,0.000066
256,0.000132,0.000163,0.000106,0.000190,0.000523
512,0.000967,0.000559,0.000281,0.000293,0.001811
1024,0.003434,0.001720,0.000994,0.000916,0.005873
2048,0.009973,0.004871,0.002683,0.002300,0.017359
